id,FlightDate,RollNumber,State,City,RangeFrom,RangeTo,NumberOfFrames
1,2002-04-04,HM-2002-USA-5000,AL,Auburn,0093,0247,155
2,2002-02-23,HM-2002-USA-1004,AL,Mobile,0241,0448,208
3,2002-02-23,HM-2002-USA-1005,AL,Mobile,0001,0450,450
4,2002-02-23,HM-2002-USA-1006,AL,Mobile,0001,0263,263
5,2002-02-24,HM-2002-USA-1006,AL,Mobile,0268,0448,181
6,2002-02-24,HM-2002-USA-1007,AL,Mobile,0001,0142,142
7,2002-04-04,HM-2002-USA-5000,AL,Montgomery,0003,0092,90
8,2002-04-05,HM-2002-USA-5000,AL,Montgomery,0252,0325,74
9,2002-04-05,HM-2002-USA-5000,AL,Montgomery,0331,0435,105
10,2002-04-05,HM-2002-USA-5001,AL,Montgomery,0001,0247,247
11,2002-08-12,HM-2002-USA-1078,AZ,Phoenix,3,440,438
12,2002-08-12,HM-2002-USA-1079,AZ,Phoenix,1,256,256
13,2002-08-12,HM-2002-USA-1079,AZ,Phoenix,261,441,181
14,2002-08-13,HM-2002-USA-1080,AZ,Phoenix,1,445,445
15,2002-08-13,HM-2002-USA-1081,AZ,Phoenix,1,115,115
16,2002-08-13,HM-2002-USA-1081,AZ,Phoenix,120,162,43
17,2002-08-13,HM-2002-USA-1081,AZ,Phoenix,166,431,266
18,2002-08-13,HM-2002-USA-1082,AZ,Phoenix,1,445,445
19,2002-08-14,HM-2002-USA-1083,AZ,Phoenix,5,358,354
20,2002-08-15,HM-2002-USA-1083,AZ,Phoenix,363,443,81
21,2002-08-15,HM-2002-USA-1084,AZ,Phoenix,1,445,445
22,2002-08-15,HM-2002-USA-1085,AZ,Phoenix,1,14,14
23,2002-08-16,HM-2002-USA-1085,AZ,Phoenix,25,414,390
24,2002-08-16,HM-2002-USA-1086,AZ,Phoenix,1,412,412
25,2002-08-22,HM-2002-USA-1087,AZ,Phoenix,5,443,439
26,2002-08-22,HM-2002-USA-1088,AZ,Phoenix,1,196,196
27,2002-08-22,HM-2002-USA-1088,AZ,Phoenix,201,434,234
28,2002-08-22,HM-2002-USA-1089,AZ,Phoenix,1,111,111
29,2002-08-23,HM-2002-USA-1089,AZ,Phoenix,116,444,329
30,2002-08-23,HM-2002-USA-1090,AZ,Phoenix,1,218,218
31,2002-08-23,HM-2002-USA-1090,AZ,Phoenix,223,435,213
32,2002-08-23,HM-2002-USA-1091,AZ,Phoenix,1,443,443
33,2002-06-24,HM-2002-USA-1023,AZ,Tucson,378,439,62
34,2002-06-24,HM-2002-USA-1024,AZ,Tucson,1,445,445
35,2002-06-24,HM-2002-USA-1025,AZ,Tucson,1,445,445
36,2002-06-24,HM-2002-USA-1026,AZ,Tucson,1,51,51
37,2002-06-24,HM-2002-USA-1026,AZ,Tucson,65,443,379
38,2002-06-25,HM-2002-USA-1027,AZ,Tucson,1,445,445
39,2002-06-25,HM-2002-USA-1028,AZ,Tucson,1,80,80
40,2002-06-28,HM-2002-USA-1028,AZ,Tucson,85,182,98
41,2002-06-30,HM-2002-USA-1028,AZ,Tucson,187,444,258
42,2002-06-30,HM-2002-USA-1029,AZ,Tucson,1,445,445
