id,holding_id,County,Region,Format,Notes,Restrictions,image_name
8,503616,"LOS ANGELES","SAN FERNANDO VALLEY",NULL,"Pictorial Coverage",NULL,los_angeles.jpg
1496,502792,"LOS ANGELES","SANTA CLARITA VALLEY",P,NULL,NULL,los_angeles.jpg
1489,502668,"LOS ANGELES","MALIBU/SANTA MONICA MOUNTAINS",NULL,NULL,NULL,los_angeles.jpg
1490,502667,"LOS ANGELES","MALIBU/SANTA MONICA MOUNTAINS",NULL,NULL,NULL,los_angeles.jpg
1482,502424,"LOS ANGELES","MALIBU/SANTA MONICA MOUNTAINS",NULL,"Partial Coverage; See index page 3",NULL,los_angeles.jpg
16,503617,"LOS ANGELES","LOS ANGELES BASIN",NULL,"Pictorial Coverage",NULL,los_angeles.jpg
1535,507405,"LOS ANGELES","LOS ANGELES BASIN",NULL,"Pictorial coverage. Imagery stored at Annex 2",NULL,los_angeles.jpg
25,503700,ORANGE,"ORANGE COUNTY",NULL,"Pictorial Coverage",NULL,
27,503002,"SAN DIEGO","CENTRAL COAST",NULL,"Partial Coverage",NULL,san_diego.jpg
28,503002,"SAN DIEGO","CAMP PENDLETON",NULL,NULL,NULL,san_diego.jpg
29,503002,"SAN DIEGO","ESCONDIDO & VICINITY",NULL,NULL,NULL,san_diego.jpg
30,503002,ORANGE,"ORANGE COUNTY",NULL,"Partial Coverage",NULL,
32,502357,"SANTA BARBARA","SANTA MARIA VALLEY",NULL,"North half of City of Santa Maria on Sheet 8",NULL,santa_barbara.jpg
33,503051,"SANTA BARBARA","CARPINTERIA VALLEY",P,NULL,NULL,santa_barbara.jpg
40,503051,"SANTA BARBARA","GOLETA VALLEY",P,NULL,NULL,santa_barbara.jpg
42,503051,"SANTA BARBARA","SANTA BARBARA/MONTECITO",P,NULL,NULL,santa_barbara.jpg
44,502322,KERN,"BAKERSFIELD & VICINITY",P,NULL,NULL,kern.jpg
45,502323,KERN,"BAKERSFIELD & VICINITY",P,NULL,NULL,kern.jpg
46,502324,KERN,"BAKERSFIELD & VICINITY",P,NULL,NULL,kern.jpg
47,502325,KERN,"BAKERSFIELD & VICINITY",P,NULL,NULL,kern.jpg
48,502486,KERN,"BAKERSFIELD & VICINITY",P,"Pictorial Coverage (1:36,000) of Bakersfield and Oildale. See index page 2",NULL,kern.jpg
49,502067,KERN,"BAKERSFIELD & VICINITY",NULL,NULL,NULL,kern.jpg
50,502076,KERN,"BAKERSFIELD & VICINITY",NULL,NULL,NULL,kern.jpg
51,502655,KERN,"BAKERSFIELD & VICINITY",NULL,"South half of Bakersfield Â ",NULL,kern.jpg
1510,502655,KERN,"WEST COUNTY",NULL,"Area south of Bakersfield Â ",NULL,kern.jpg
53,502668,KERN,"BAKERSFIELD & VICINITY",NULL,NULL,NULL,kern.jpg
54,502561,KERN,"WEST COUNTY",P,"Vicinity of Maricopa and Taft",NULL,kern.jpg
